                                 | Last 10 games 
name      :  GP|  G|  A|PTS|  PPG|  G|  A|  P|PPG 
bob       :   3|  9|  8| 17| 5.67|  9|  8| 17| 1.70 
kessel    :  35| 13|  7| 20| 0.57|  1|  1|  2| 0.20 
pacioretty:  35|  8| 13| 21| 0.60|  2|  2|  4| 0.40 
gaborik   :  22|  6|  3|  9| 0.41|  2|  1|  3| 0.30 
monahan   :  31|  4|  9| 13| 0.42|  1|  3|  4| 0.40 
ryan      :  31|  7|  1|  8| 0.26|  2|  0|  2| 0.20 
zetterberg:  35| 14| 16| 30| 0.86|  1|  5|  6| 0.60 
simmonds  :  22|  5|  1|  6| 0.27|  3|  1|  4| 0.40 
hall      :  35| 22| 15| 37| 1.06|  7|  4| 11| 1.10 
johnson   :  31|  1|  7|  8| 0.26|  1|  5|  6| 0.60 
kuznetsov :  35| 10| 20| 30| 0.86|  3|  5|  8| 0.80 
nyquist   :  22|  3|  2|  5| 0.23|  1|  1|  2| 0.20 
toews     :  35| 19| 12| 31| 0.89|  4|  3|  7| 0.70 
weber     :  35|  3| 16| 19| 0.54|  3|  7| 10| 1.00 
klingberg :  29|  2|  9| 11| 0.38|  1|  3|  4| 0.40 
kronwall  :  28|  1| 15| 16| 0.57|  0|  1|  1| 0.10 
sekera    :   1|  0|  1|  1| 1.00|  0|  1|  1| 0.10 
shattenkirk:  25|  4| 11| 15| 0.60|  1|  3|  4| 0.40 
vlasic    :  19|  0|  3|  3| 0.16|  0|  3|  3| 0.30 
larsson   :  23|  0| 13| 13| 0.57|  0|  4|  4| 0.40 
skinner   :  13|  7|  2|  9| 0.69|  5|  1|  6| 0.60 
nash      :  13|  7|  0|  7| 0.54|  6|  0|  6| 0.60 
voracek   :  13|  4|  2|  6| 0.46|  3|  2|  5| 0.50 
richards  :   4|  1|  1|  2| 0.50|  1|  1|  2| 0.20 
bissonnette:   4|  0|  2|  2| 0.50|  0|  2|  2| 0.20 
malkin    :   4|  0|  0|  0| 0.00|  0|  0|  0| 0.00 
carter    :   4|  0|  0|  0| 0.00|  0|  0|  0| 0.00 
myers     :   4|  0|  0|  0| 0.00|  0|  0|  0| 0.00 
